4,0.0, 0.0, 100116
3,0.0, 0.0, 100130
2,0.0, 0.0, 200166
1,0.0, 0.0, 200180
0,0.0, 0.0, 300042
4,0.0, 0.0, 300022
3,0.0, 0.0, 300467
2,0.0, 0.0, 299966
1,0.0, 0.0, 299997
0,0.0, 0.0, 299936
4,0.0, .1, 299953
3,0.0, .1, 200089
2,0.0, .1, 200105
1,0.0, .1, 399960
0,0.0, .1, 200092
4,0.0, .1, 300096
3,0.0, .1, 299934
2,0.0, .1, 299952
1,0.0, .1, 399936
0,0.0, .1, 300213
4,0.0, .2, 300005
3,0.0, .2, 399989
2,0.0, .2, 400076
1,0.0, .2, 399972
0,0.0, .2, 200082
4,0.0, .2, 200068
3,0.0, .2, 200149
2,0.0, .2, 198567
1,0.0, .2, 299855
0,0.0, .2, 599935
4,0.0, .3, 300097
3,0.0, .3, 400070
2,0.0, .3, 400012
1,0.0, .3, 300099
0,0.0, .3, 599920
4,0.0, .3, 399916
3,0.0, .3, 299931
2,0.0, .3, 399990
1,0.0, .3, 499905
0,0.0, .3, 499975
4,0.0, .4, 499951
3,0.0, .4, 599894
2,0.0, .4, 300015
1,0.0, .4, 600083
0,0.0, .4, 300055
4,0.0, .4, 300080
3,0.0, .4, 400013
2,0.0, .4, 999957
1,0.0, .4, 699933
0,0.0, .4, 399949
4,0.0, .5, 799953
3,0.0, .5, 399952
2,0.0, .5, 500032
1,0.0, .5, 599898
0,0.0, .5, 400000
4,0.0, .5, 200039
3,0.0, .5, 400075
2,0.0, .5, 399966
1,0.0, .5, 599963
0,0.0, .5, 400037
4,0.0, .6, 699877
3,0.0, .6, 600030
2,0.0, .6, 799910
1,0.0, .6, 699905
0,0.0, .6, 900184
4,0.0, .6, 300081
3,0.0, .6, 599915
2,0.0, .6, 899979
1,0.0, .6, 800109
0,0.0, .6, 800031
4,0.0, .7, 999978
3,0.0, .7, 800051
2,0.0, .7, 599961
1,0.0, .7, 600004
0,0.0, .7, 900048
4,0.0, .7, 900135
